Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Acc,ThetaX,ThetaY,ThetaZ
19.61,1.67,18.03,76.97,201.73,105,0,,,
7.53,6.2,19.61,-30.28,108.3,248.11,21.9018949,,,
9.51,-19.61,-3.29,-93,220.92,93.27,22.04124089,,,
19.61,-1.88,19.61,71.13,-100.34,200.21,27.79637746,,,
19.61,-17,7.5,110.34,-4.53,250.13,27.01484962,,,
1.15,-18.5,-4.68,-164.88,95.37,-18.53,19.11739784,,,
14.03,-12.35,-9.55,-126.49,66.71,54.08,20.98966174,,,
19.61,19.61,-15.66,250.13,250.13,239.81,31.8487017,,,
19.61,19.61,-16.28,68.14,250.13,250.13,32.15808763,,,
5.62,-8.16,14.13,76.56,-21.21,94.16,17.25766207,,,
